# נספח השימור של תוכנית המתאר הכוללנית פרדס חנה-כרכור, תכנית 353-0138586.
# תומלל מתוך "נספח 2: כרטסת השימור לפי מפתח כתובת", עמודים 266-286 במסמך
# "הוראות נספח שימור" (ד"ר הדס שדר, יולי 2017), כפי שפורסם באתר מנהל התכנון:
# https://apps.land.gov.il/IturTabotData/nispachim/haifa/3008729/12.pdf
#
# המסמך סרוק ואין בו שכבת טקסט, ולכן הטבלה תומללה מהתמונות. המספור בעמודה `num`
# הוא מספר האתר במפת השימור, והספרה שלפני הנקודה היא הנרטיב שאליו האתר משויך
# (ראה GROUPS ב-build_shimur.py). המיקום אינו במסמך: הוא נגזר מהגוש והחלקה
# מול שכבת החלקות הארצית, ולכן הוא מרכז החלקה ולא בהכרח מרכז המבנה.
#
# עמודות: num	name	grade	address	parcels
# parcels: גוש:חלקה,חלקה;גוש:חלקה  (חלקות בלבד, בלי חלקי חלקות)
#
num	name	grade	address	parcels
3.2.5	שדרת הושינגטוניות ברחוב הדקלים	שימור עם הגבלות מחמירות	הדקלים, מרח' החרמון עד רח' חרובים וממרכז המושבה עד רח' הצפירה	10104:106;10102:239,125;10101:117
3.2.6	שדרת הגרוויליאות והתמרים בדרך הנדיב	שימור עם הגבלות מחמירות	דרך הנדיב, כביש 652	10102:128,125;10101:116,124;10096:32;10097:9;10091:2
3.2.7	שדרת הקזוארינות והחלל ברחוב הראשונים	שימור עם הגבלות מחמירות	הראשונים, מפינת המעלה עד פינת החורש	10103:331
3.2.8	שדרת הקזוארינות ברחוב הגדוד	שימור עם הגבלות מחמירות	הגדוד, מפינת דרור ועד פינת דרך פיק"א	10104:313
3.2.9	שדרת הפיקוסים ברחוב הדסים בנווה אשר	שימור עם הגבלות מחמירות	הדסים	10107:180
3.2.10	שדרת פיקוסים וחרובים ברחוב החרובים	שימור עם הגבלות מחמירות	חרובים	10102:132,133,239
3.2.11	שדרת איקליפטוסים ברחוב המעלה	שימור עם הגבלות מחמירות	המעלה	10103:331
3.2.12	פארק אורני הוואדי	שימור עם הגבלות מחמירות	דרור, הבנים, החרובים, דרך הים, חרמון	10102:265,241,17,1,133,125;10101:12
3.2.13	שמורת החורש	שימור עם הגבלות מחמירות	ליד ה"אמפי"	10103:31
3.2.14	שדרת הפיקוסים ברחוב השלום בכרכור	שימור עם הגבלות מחמירות	השלום	10073:60
3.2.15	ברוש הירשברג	שימור עם הגבלות מחמירות	עצמון	10101:65
3.2.16	חורשת אלוני בריכת המים ליד בי"ס אלישבע	שימור	מלאכה	10102:103,213
3.2.17	חורשת אלוני שכונת אגד	שימור	דרך הבנים – דרך הנדיב	10105:363
3.2.18	אלונים ברחוב הצפירה	שימור	הצפירה פינת הבוטנים – עמל	10107:212,217,224,225,226
3.2.19	גן עוז	שימור	גן עוז	10109:27,28,146
3.2.20	גן מירקין, הנקרא גם גן איטין	שימור	הדקלים, סמוך לצומת עם החרובים	10102:239
3.3.1	בית הכנסת הגדול "אחוזה" בכרכור	שימור עם הגבלות מחמירות	דרך הבנים	10074:34
3.3.2	בית הכנסת הגדול פרדס חנה	שימור עם הגבלות מחמירות	דרך הבנים, סמוך לכניסה לפרדס חנה מצפון	10102:77
3.3.3	חוות מגד / חוות ברין	שימור עם הגבלות מחמירות	דרך פיק"א, בואכה כביש 65	10109:163,164,165
3.3.4	מכלול בית הספר החקלאי לשעבר	מכיל אתרים שונים בדרגות שונות	דרך הנדיב פינת פיק"א, הכניסה למתחם	10105:89,91,95,98,99,100,101,117,118,119,120,121,122,123,124,125
3.3.5	שערי הכניסה של בית הספר החקלאי לשעבר	שימור	דרך הנדיב פינת פיק"א	10105:241,243
3.3.6	בית מכנס בבית הספר החקלאי לשעבר	שימור עם הגבלות מחמירות	דרך הנדיב פינת פיק"א	10105:126
3.3.7	שדרת ברושים בבית הספר החקלאי לשעבר	שימור עם הגבלות מחמירות	דרך הנדיב פינת פיק"א	10105:92,93,142,121,122
3.3.8	בית אחוזה בכרכור	שימור עם הגבלות מחמירות	המייסדים – דרך הבנים, בצמוד לכיכר אחוזה	10074:35
3.3.9	בית האיכר	שימור עם הגבלות מחמירות	הדקלים פינת דרך הבנים, על שפת כיכר הנשיא	10102:122
3.3.10	מבנה הכיתות הראשון בבית הספר אלונים	שימור עם הגבלות מחמירות	דרך הבנים, מזרחית לכיכר הנדיב	10102:77
3.3.11	מבנה הכיתות הראשון בבית הספר החקלאי לשעבר	שימור	דרך הנדיב פינת פיק"א	10105:122,123,124
3.3.12	בית ברין בבית הספר החקלאי לשעבר	שימור	דרך הנדיב פינת פיק"א	10105:120
3.3.13	מבנה המגורים הראשון בבית הספר החקלאי לשעבר	שימור	דרך הנדיב פינת פיק"א	10105:89
3.3.14	בית פרס	שימור	דרך הנדיב פינת פיק"א	10105:124,125
3.3.15	"האמפי"	שימור	המעלה פינת רבי עקיבא	10103:31
3.3.16	דפנות המרכז המסחרי	שימור	דרך הבנים והדקלים, בצמוד לכיכר המושבה	10102:314,174,122,245,246,247,248,249,250,251,252,253,254,275,276,277,278,279
3.3.17	מבנה השוק הישן	שימור	הדקלים, אורנים ודרך למרחב	10102:255
3.3.18	בית הקרח	שימור	הנחילות, המשך רחוב השופטים צפונה, מול המרכז המסחרי החדש	10071:12
3.3.19	בניין המועצה הישן	שימור	הדקלים	10102:69
3.3.20	בית הראשונים	שימור עם הגבלות מחמירות	דרך הבנים פינת הדקלים	10102:76
3.3.21	המרפאה הראשונה, ידועה גם כטיפת חלב	שימור עם הגבלות מחמירות	חרובים פינת הדקלים	10102:176
3.3.22	בית ההסתדרות, "בית פעם"	שימור	האורנים, דרור, הדקלים	10102:260
3.4.2	בית הריס כרכור	שימור	המייסדים 66	10074:243
3.4.3	בית בנדס כרכור	שימור	המייסדים 80	10074:48
3.4.4	בית דיאמנט כרכור	שימור	המייסדים 81	10074:32
3.4.5	בית פוטו ארצי	שימור	חרובים, מול חרובים 20	10102:229
3.4.6	בית פרידמן	שימור	חרובים 12, סמוך לצומת עם הדקלים	10102:65
3.4.7	חוות בית שליט	שימור	תל אלון	10108:10,11,12,17
3.4.8	בית דרורי	שימור	דרך הנדיב פינת המשמר	10101:115
3.4.9	בית פפסמדי (סמדר)	שימור	הראשונים 7	10103:58
3.4.10	בית משפחת תבורי	שימור	הגלעד 1, הגלעד פינת השומר	10102:288
3.4.11	בית ברחוב מגד	שימור	מגד 33	10109:119
3.4.12	בית לוריא	שימור	הבוטנים מערב 37	10104:49
4.1	מבנה המשטרה הבריטית	שימור	דרך הנדיב	10101:95
4.2	קסרקטין בריטי על דרך הנדיב	שימור	דרך הנדיב, ליד תחנת המשטרה	10101:91,92
4.3	קסרקטינים בריטים	שימור		10099:14,15
5.1	עמדת שמירה בכרכור	שימור עם הגבלות מחמירות	המייסדים פינת תלפיות	10073:15
5.2	עמדת שמירה בבית הקברות	שימור עם הגבלות מחמירות	בעומק בית הקברות בכרכור	10076:147
5.3	עמדת שמירה המגדל	שימור עם הגבלות מחמירות	דרך עירון 15, מול שטח פתוח	10073:55
5.4	מחנה הפרדות	שימור עם הגבלות מחמירות	על כביש עפר מדרך הנדיב, דרומית לקו הכחול	10091:30;10097:11,12,27
6.1	מרכזון שכונתי בנווה מרחב	שימור	חשמונאים פינת פדויים	10123:149
6.2	מרכזון שכונתי בנווה מרחב	שימור	חשמונאים, מול בית מס' 294	10123:152,223
7.1	בית כנסת ובית מדרש מדרשיית נועם	שימור עם הגבלות מחמירות	דרך למרחב	10103:111,112
7.2	שני מבנים מלבניים זהים של המדרשיה	שימור	רמב"ם 1, רמב"ם 2	10103:100
7.3	מבנה ארוך של המדרשיה	שימור	המדרשיה 3	10103:331,101,102,103
